Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Restaurant Le Brocard;Restaurant;Cuisine traditionnelle;;place des tilleuls;Le Guédeniau;49150;;;BAUGE-EN-ANJOU;49018;47.4950418;-0.0463458;;;02 41 82 87 43;;marcjousset.lebrocard@orange.fr;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1214889-d10241544-Reviews-Le_Brocard-Le_Guedeniau_Bauge_en_Anjou_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;oui;;;Banquet;45;2;;;;;;;20;30;oui;01/01/2025||31/12/2026||Ouvert le midi du lundi au vendredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,00||||;Chèques bancaires et postaux;47.4950418, -0.0463458;Maine-et-Loire
Restaurant Le Caveau;Restaurant;Restaurant troglodytique;;4 bis place du Champ de Foire;Doué-la-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.192771;-0.276519;;;02 41 59 98 28;;restaurant.lecaveau@orange.fr;http://restaurantlecaveau.com;;"Facebook||https://www.facebook.com/Le-Caveau-128223893895910/ ; Google+||https://maps.google.com/?cid=3726009569429163644";;;;;;oui;;;Chaise haute / Réhausseur;100;1;;;;;Anglais,Français;oui;;100;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.192771, -0.276519;Maine-et-Loire
Restaurant Le Cellier;Restaurant;Restaurant gastronomique - cuisine raffinée;;52 rue Saint-Nicolas;;49400;;;SAUMUR;49328;47.261091;-0.07986;Transport en commun||||;;02 41 40 96 20;;restaurant.lecellier49@gmail.com;;;Facebook||https://www.facebook.com/LeCellier49/;;;Gault Millau;;;oui;Notifiez à la réservation pour un placement dans la salle à l'aise;;Chaise haute / Réhausseur,Service en terrasse;20;1;20;;;;Anglais,Français;;;;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.261091, -0.07986;Maine-et-Loire
Restaurant Le Central;Restaurant;Cuisine traditionnelle;;11, place de l'Hôtel de Ville;;72360;;;MAYET;72191;47.7594782;0.275062;"Gare SNCF||Mayet Gare||1 ; Autoroute||Ecommoy||8";;02 43 46 60 02;;lecentral72@gmail.com;;;Facebook||https://www.facebook.com/profile.php?id=100076058994536;;;;;;;;;Climatisation,Plats à emporter,Service en terrasse;70;1;70;;;;Français;;10;40;oui;01/01/2026||31/12/2026||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||||||||||||||||;Wendy ODY||02 43 46 60 02||lecentral72@gmail.com;;;"Menu adulte du jour (midi en semaine)||15,50||16,50|| ; Menu enfant||8,00||||";Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.7594782, 0.275062;Sarthe
Restaurant Le Club;Restaurant;Brasserie;;Boulevard Hennecart face à l'hôtel Christina;Sur la plage;44500;;;LA BAULE-ESCOUBLAC;44055;47.28137;-2.38975;;06 81 73 25 60;02 40 42 01 62;;laurenceledrogo69@orange.fr;http://www.clubdesdauphins.com;;;;;;;;oui;;;Service en terrasse;;;;;;;;;;;;;;;;;Espèces;47.28137, -2.38975;Loire-Atlantique
Restaurant Le Coco'ning;Restaurant;Guinguette;;2 rue des Courants;Saint-Martin-de-la-Place;49160;;;GENNES-VAL-DE-LOIRE;49261;47.337854;-0.141414;;;09 80 71 20 71;;lecoconing@hotmail.fr;https://www.restaurantlecoconing.org;;"Facebook||https://www.facebook.com/Le-Coconing-320716875392708/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1080876-d15297560-Reviews-Le_Coco_Ning-Saint_Martin_de_la_Place_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;;;Banquet,Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,Table à langer;120;2;200;;;;Anglais,Espagnol,Français;oui;;100;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.337854, -0.141414;Maine-et-Loire
Restaurant le Commerce;Restaurant;Cuisine traditionnelle;;1, Place du marché;Baugé;49150;;;BAUGE-EN-ANJOU;49018;47.542217;-0.1051368;;;02 41 89 14 15;;lecommercebauge@hotmail.com;https://www.restaurant-le-commerce-bauge.fr/;;Tripadvisor||;;;;;;oui;;;Banquet,Chaise haute / Réhausseur,Climatisation,Séminaire,Service en terrasse;80;2;30;;1;;Anglais,Français;oui;25;80;oui;01/01/2025||31/12/2026||ouvert du lundi au vendredi||||08:30||14:00||||||08:30||14:00||||||08:30||14:00||||||08:30||14:00||||||08:30||14:00||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||16,50||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.542217, -0.1051368;Maine-et-Loire
Restaurant Le Comptoir;Restaurant;Brasserie;;13 Quai Carnot;;49400;;;SAUMUR;49328;47.262101;-0.078214;;;;;;https://www.joa.fr;;;;;;;;;;;;80;1;;;;;Anglais,Français;;;;;07/04/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||15,00||22,50||;;47.262101, -0.078214;Maine-et-Loire
Restaurant Le Comptoir de L'Inde;Restaurant;Cuisine du Monde;;47 Grande Rue;;72200;;;LA FLECHE;72154;47.6996952;-0.0716441;;;02 43 94 83 07;;;;;;;;;;;;;;Plats à emporter,Service en terrasse;55;2;20;;;;Français;oui;;35;oui;01/01/2026||31/12/2026||||||||||||||11:45||14:15||18:30||22:30||11:45||14:15||18:30||22:30||11:45||14:15||18:30||22:30||11:45||14:15||18:30||22:30||11:45||14:15||18:30||22:30||11:45||14:15||18:30||22:30;;;;"Plats à la carte||13,50||20,90|| ; Menu enfant||10,50||||";;47.6996952, -0.0716441;Sarthe
Restaurant Le Comptoir des Vins;Restaurant;Restaurant gastronomique - cuisine raffinée;;2 place des Plantagenets;;49590;;;FONTEVRAUD-L'ABBAYE;49140;47.18169;0.04983;;;02 41 59 83 63;;lecomptoirdesvins49@gmail.com;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187193-d4401746-Reviews-Le_Comptoir_des_Vins-Fontevraud_l_Abbaye_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;oui;;;Service en terrasse;40;2;55;;;;Anglais,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.18169, 0.04983;Maine-et-Loire
Restaurant Le Grand Bleu;Restaurant;Cuisine traditionnelle;;6 rue du Marché;;49400;;;SAUMUR;49328;47.259345;-0.075851;;;02 41 67 41 83;;jean.letourneur13@laposte.net;http://www.legrandbleu-saumur.fr;;Google+||https://maps.google.com/?cid=3750706908116454127;;;;;;;;Maitres Restaurateurs;Chaise haute / Réhausseur,Climatisation,Service en terrasse,WiFi;45;1;50;;;;Anglais,Français;oui;20;25;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.259345, -0.075851;Maine-et-Loire
restaurant Le Grand Large;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;17 rue de la Corderie;;44760;;;LA BERNERIE-EN-RETZ;44012;47.07908;-2.03816;;;02 51 18 42 59;;contact@hotel-legrandlarge.com;https://www.hotel-legrandlarge.com/fr;;;;;Le petit futé;;;oui;;;Plats à emporter,Séminaire,WiFi;48;1;40;;;;;oui;;48;;;;;;;Cartes bancaires,Chèques Vacances,Espèces;47.07908, -2.03816;Loire-Atlantique
RESTAURANT LE MIK' CELY;Restaurant;Cuisine traditionnelle;;4, rue d'Anjou;;53290;;;BIERNE-LES-VILLAGES;53029;47.8099457;-0.5426551;;;02 43 70 53 21;;mik.cely@wanadoo.fr;;;Facebook||http://www.facebook.com/pages/Le-MikCely/239047389538450;;;;;;oui;;;Banquet;60;;;;;;Français;;;;;;Le Mik'Cély||02 43 70 53 21||mik.cely@wanadoo.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.8099457, -0.5426551;Mayenne
Restaurant Le Montagnole;Restaurant;Cuisine traditionnelle;;60 rue Saint Nicolas;;49400;;;SAUMUR;49328;47.261155;-0.080166;Transport en commun||||;;02 41 50 53 30;;le-montagnole@orange.fr;https://lemontagnole.fr;;"Facebook||https://www.facebook.com/Le-montagnole-775930619120422/ ; Google+||https://maps.google.com/?cid=5606698918611539332 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d2419659-Reviews-Le_Montagnole-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;Le petit futé;;;oui;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse;36;;40;;;;Anglais,Français;;;36;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.261155, -0.080166;Maine-et-Loire
Restaurant Le Petit Anjou;Restaurant;Cuisine traditionnelle;;Avenue du Carillon;Le Louroux-Béconnais;49370;;;VAL D'ERDRE-AUXENCE;49183;47.5204102;-0.8785094;Route (nationale/départ.)||Axe Bécon-les-Granits - Candé||;06 36 70 84 46;;;roland.proust@orange.fr;https://www.restaurant-louroux-beconnais.com/;;"Google+||https://g.co/kgs/53dVqgD ; Facebook||https://www.facebook.com/lepetitanjou/?locale=fr_FR";;;;;;;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;80;1;10;0;0;;Anglais,Français;oui;25;80;oui;01/01/2026||31/12/2026||Ouvert le weekend pour les groupes à partir de 25 personnes.||Fermé pour congés tout le mois d'août.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;LE PETIT ANJOU||06 36 70 84 46||roland.proust@orange.fr;;;"Menu adulte du jour (midi en semaine)||14,90|||| ; Menu adulte soir et week-end||23,00||||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.5204102, -0.8785094;Maine-et-Loire
RESTAURANT LE PETIT COMPTOIR;Restaurant;Cuisine traditionnelle;;14, rue neuve;;53170;;;LA BAZOUGE-DE-CHEMERE;53022;48.0017623;-0.4897513;;;02 43 98 15 58;;lepetitcomptoir53@orange.fr;;;Facebook||https://www.facebook.com/lepetitcomptoirlabazougedechemere;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse;54;1;20;;;;Anglais,Français;oui;20;;;||||Ouvert le midi du lundi au vendredi. Le week-end, sur réservation à partir de 20 pers.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Le Petit Comptoir||02 43 98 15 58||lepetitcomptoir53@orange.fr;;;Menu adulte du jour (midi en semaine)||16,50||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.0017623, -0.4897513;Mayenne
Restaurant Le Prelandon;Restaurant;Cuisine traditionnelle;;Rue d'Arnage;;72700;;;SPAY;72344;47.9150409;0.158459;;;02 43 21 13 19;02 43 21 13 19;resto.leprelandon@orange.fr;https://www.le-prelandon.fr/;;Facebook||https://www.facebook.com/leprelandon;;;;;;non;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;170;2;20;1;0;;Anglais;oui;10;70;oui;"01/01/2026||10/08/2026||||Soirs. Week-end sur réservation groupe. ||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30|||||||||||||||||||| ; 31/08/2026||31/12/2026||||Soirs. Week-end sur réservation groupe. ||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||||||||||||||||";Semonin||||resto.leprelandon@orange.fr;;;Menu adulte du jour (midi en semaine)||13,60||19,90||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.9150409, 0.158459;Sarthe
Restaurant Le Puy à Vins;Restaurant;Cuisine traditionnelle;;10 rue des hôtels;;49260;;;LE PUY-NOTRE-DAME;49253;47.125371;-0.234766;;;02 41 03 53 32;;contact@lepuyavins.fr;https://www.lepuyavins.fr;;"Facebook||https://www.facebook.com/LePuyaVins ; Instagram||https://www.instagram.com/lepuyavins49/";;;;;;oui;;Vignobles et découvertes;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,WiFi;30;2;12;;;;Anglais,Français;oui;;30;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Lien de réservation||||;;;"Menu adulte du jour (midi en semaine)||23,00||29,00||Les soirs, weekend et jour férié,  notre menu est à 23€ (Entrée-plat ou Plat-dessert) ou 29€ (Entrée-plat-dessert). ; Menu adulte du jour (midi en semaine)||18,00||22,00||Le midi en semaine, notre menu est à 18€ (Entrée-plat ou Plat-dessert) ou 22€ (Entrée-plat-dessert).";Cartes bancaires;47.125371, -0.234766;Maine-et-Loire
Restaurant Le Pélican;Hôtel restaurant;Cuisine traditionnelle;;8 place du Pélican;;49390;;;VERNANTES;49368;47.393316;0.052121;;;02 41 51 50 20;;resto@le-pelican.com;https://www.le-pelican.fr;;"Facebook||https://www.facebook.com/LePelicanVernantes/ ; Google+||https://maps.google.com/?cid=1726163283125785684";;;;;;oui;;Logis;Banquet,Livraison à domicile,Plats à emporter,WiFi;;3;30;;;;Anglais,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Tickets Restaurant;47.393316, 0.052121;Maine-et-Loire
Restaurant Le Relais d'Auverse;Restaurant;Cuisine traditionnelle;;14, route de Baugé;Auverse;49490;;;NOYANT-VILLAGES;49228;47.5186084;0.05235636;Route (nationale/départ.)||D766||;;02 41 82 23 24;;;;;Tripadvisor||;;;Guide des Relais Routiers;;;oui;;;Plats à emporter,Traiteur;60;2;;;;;;oui;;20;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.5186084, 0.05235636;Maine-et-Loire
Restaurant Le Relais de la Marconne;Restaurant;Cuisine traditionnelle;;15 bis, rue Klébert Vaudron;Dissé sous le Lude;72800;;;LE LUDE;72176;47.6084919;0.154999;"Route (nationale/départ.)||D307||0 ; Autoroute||A28||21";;02 43 45 43 84;;xavieretnadege@gmail.com;;;"Facebook||https://www.facebook.com/Le-relais-de-La-marconne-1447426218884478/photos_stream?ref=page_internal ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g6369006-d6360196-Reviews-Le_Relais_De_La_Marconne-Disse_sous_le_Lude_Sarthe_Pays_de_la_Loire.html";;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;60;2;20;1;2;;Anglais;oui;10;43;oui;01/01/2026||31/12/2026||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||17,00||20,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.6084919, 0.154999;Sarthe
Restaurant Le Relais de Louailles;Hôtel restaurant;Cuisine traditionnelle;;5, rue Principale;;72300;;;LOUAILLES;72167;47.792401;-0.2517961;"Route (nationale/départ.)||D306 - Sablé/La Flèche||0 ; Autoroute||A11||3,5";;02 43 95 37 06;;relaisdelouailles.bar@gmail.com;;;"Facebook||https://www.facebook.com/Relais-de-Louailles-1691561974389090/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g7777602-d9828207-Reviews-Relais_de_Louailles-Louailles_Sarthe_Pays_de_la_Loire.html";;;;;;oui;;;WiFi;80;2;;;;;Anglais,Français;oui;;40;oui;"01/01/2026||25/07/2026||||Samedi et Dimanche||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00|||||||||||||||| ; 10/08/2026||31/12/2026||||Samedi et Dimanche||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00||04:00||||||00:00||||||||||||||||";;;;"Menu adulte du jour (midi en semaine)||15,90|||| ; Menu adulte soir et week-end||15,90|||| ; Menu enfant||10,00||||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.792401, -0.2517961;Sarthe
Restaurant le Relais du Beau Soleil;Restaurant;Cuisine traditionnelle;;ZAC Beausoleil;2 Rue Jean Monnet,;44116;;;VIEILLEVIGNE;44216;46.9705041;-1.4129007;;;02 51 70 09 08;;le.relais.du.beau.soleil@gmail.com;;;;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse,WiFi;100;2;35;;2;;Anglais;oui;40;50;oui;;Mr et Mme RIPOCHE Jean-Pierre et Catherine||02 51 70 09 08||le.relais.du.beau.soleil@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;46.9705041, -1.4129007;Loire-Atlantique
Restaurant le Relais du Bois Joli;Restaurant;Cuisine traditionnelle;;35 avenue de la Libération;;72350;;;SAINT-DENIS-D'ORQUES;72278;48.0273255;-0.260175;Route (nationale/départ.)||N157 entre Le Mans et Laval||0;06 83 94 87 93;02 43 52 35 42;;couasnon.lionel@orange.fr;;;;;;;;;oui;;;Banquet,WiFi;35;2;;0;0;;;oui;;;oui;01/01/2026||31/12/2026||||Fermé le dimanche soir||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;;;;"Menu adulte du jour (midi en semaine)||16,50|||| ; Menu adulte soir et week-end||16,50||||";Cartes bancaires,Chèques bancaires et postaux,Espèces;48.0273255, -0.260175;Sarthe
Restaurant Le Relais Du Château;Restaurant;Cuisine traditionnelle;;2, Rue de la Fontaine;;49440;;;CHALLAIN-LA-POTHERIE;49061;47.6357329;-1.0456384;;;02 41 92 42 34;;lerelaisduchateau@hotmail.com;;;Google+||https://g.co/kgs/uPjnAoR;;;;;;;Sur demande au préalable;;Banquet,Chaise haute / Réhausseur,Plats à emporter,Séminaire,Service en terrasse,WiFi;50;2;20;0;0;;Anglais,Français;oui;10;30;oui;01/01/2026||31/12/2026||||Fermé pour congés du 9 au 24 août.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;Le Relais du Château||02 41 92 42 34||lerelaisduchateau@hotmail.com;;;Menu adulte du jour (midi en semaine)||15,50||17,50||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.6357329, -1.0456384;Maine-et-Loire
Restaurant le Relais Henri IV;Restaurant;Restaurant gastronomique - cuisine raffinée;;;La Transonnière;72200;;;LA FLECHE;72154;47.710698;-0.041105;;06 03 41 95 16;02 43 45 72 77;;relaishenri4@gmail.com;http://www.lerelaishenri4.com/;;Facebook||https://fr-fr.facebook.com/Le-Relais-Henri-IV-282663258474273/;;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;40;2;30;1;0;;Anglais,Français;oui;;50;oui;"01/01/2026||28/02/2026||||Fermé pour congés|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 02/03/2026||31/12/2026||||||||||||||12:00||14:00||19:00||20:30||12:00||14:00||19:00||20:30||12:00||14:00||19:00||20:30||12:00||14:00||19:00||20:30||12:00||14:00||19:00||20:30||12:00||14:00||||";Laurent RICHET||02 43 45 72 77||relaishenri4@gmail.com;;;"Menu adulte du jour (midi en semaine)||16,90||35,00||Menu à 35€ le wek-end ; Menu adulte soir et week-end||22,90||35,00|| ; Menu enfant||10,90||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Virement;47.710698, -0.041105;Sarthe
Restaurant Le Saut aux Loups;Restaurant;Restaurant troglodytique;;Avenue de la Loire;;49730;;;MONTSOREAU;49219;47.21863;0.050724;;;02 41 51 70 30;;lesautauxloups@gmail.com;https://www.troglo-sautauxloups.com;;"Facebook||https://www.facebook.com/sautauxloups ; Google+||https://maps.google.com/?cid=10649562335253963038";;;Le petit futé;;;non;;;Bon cadeau,Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,WiFi;175;3;50;;;;Anglais,Français;oui;;120;;07/02/2026||11/11/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Menu adulte du jour (midi en semaine)||23,50||34,00|| ; Menu enfant||12,50||||";Cartes bancaires;47.21863, 0.050724;Maine-et-Loire
Restaurant le Simon's;Restaurant;Cuisine du Monde;;;Commune de St Christophe-du-Luat;53600;;;EVRON;53097;48.13365;-0.46121;;06 13 57 36 40;;;;;;;;;;;;;;;WiFi;;1;;;;;Anglais,Français;;;;non;;;;;Menu adulte du jour (midi en semaine)||||||Menu complet;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.13365, -0.46121;Mayenne
Restaurant le Vigneron;Restaurant;Cuisine traditionnelle;;HOTEL DE LA LOUEE;11 rue Jean Mermoz;44115;;;HAUTE-GOULAINE;44071;47.1859589;-1.4428337;;;02 40 54 90 69;;hoteldelalouee@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1859589, -1.4428337;Loire-Atlantique
Restaurant Le XIIIème;Restaurant;Cuisine traditionnelle;;13, Rue Lazare Carnot;Segré;49500;;;SEGRÉ-EN-ANJOU BLEU;49331;47.6832722;-0.8700056;;;02 41 92 58 90;;sarl-le-xiiieme@orange.fr;https://www.lexiiieme-segre.com/;;Google+||https://g.co/kgs/KEeKiZh;;;;;;;;;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,Table à langer,Traiteur,WiFi;50;1;20;0;0;;Français;oui;0;20;oui;01/01/2026||31/12/2026||||Fermé pour congés du 2 au 25 août.||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;Le XIIIème||02 41 92 58 90||sarl-le-xiiieme@orange.fr;;;"Menu adulte du jour (midi en semaine)||16,50||18,50|| ; Plats à la carte||7,00||20,00||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.6832722, -0.8700056;Maine-et-Loire
Restaurant Les Archés;Restaurant;Cuisine traditionnelle;;4 rue principale;Mazé;49630;;;MAZE-MILON;49194;47.4522577;-0.2631604;;;02 41 47 21 98;;fredericcorne@sfr.fr;https://lesarches.eatbu.com/;;Facebook||https://www.facebook.com/lesarchesdu49/;;;;;;oui;;;Banquet,Climatisation,Service en terrasse;70;2;25;;2;;Français;oui;;50;oui;01/01/2025||31/12/2026||ouvert le midi du lundi au vendredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,00||||;Cartes bancaires,Espèces,Tickets Restaurant;47.4522577, -0.2631604;Maine-et-Loire
RESTAURANT LES BAGUETTES D'OR;Restaurant;Cuisine du Monde;;12 rue Aristide Briand;;44130;;;BLAIN;44015;47.4762002;-1.7649654;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137, sortie ""Blain""||13 ; Transport en commun||Lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,2 ; Halte fluviale||Port de Blain||1";;02 40 79 27 16;;;http://baguettes-dor.fr/;;"Facebook||https://www.facebook.com/Baguettes-dOr-701968009832917 ; Google+||https://www.google.com/maps/place/Restaurant+Asiatique+Baguettes+d'Or/@47.4760112,-1.7671274,17z/data=!3m1!4b1!4m5!3m4!1s0x480f63b561ec5cdf:0x6b1c3d8c5356019a!8m2!3d47.4760112!4d-1.7649387 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g2715818-d5799353-Reviews-Baguettes_d_Or-Blain_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;;26;1;;;;;;;;;oui;;||02 40 79 27 16||;;;;;47.4762002, -1.7649654;Loire-Atlantique
RESTAURANT LES CUISINES DE MARIE;Restaurant;Cuisine traditionnelle;;4 bd St-Laurent;;44390;;;PETIT-MARS;44122;47.3961078;-1.4551406;;;02 40 72 72 76;;lescuisinesdemarie.jb@gmail.com;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187192-d2049296-Reviews-Les_Cuisines_de_Marie-Pays_de_la_Loire.html;;;Le petit futé;;;oui;petite taille;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;90;2;12;1;;;Anglais,Français;oui;20;50;oui;;LEBASTARD NELLY||02 40 72 72 76||lescuisinesdemarie.jb@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.3961078, -1.4551406;Loire-Atlantique
RESTAURANT LES LOUPS GOURMANDS;Restaurant;Cuisine traditionnelle;;14, rue des fours à chaux;;53340;;;COSSE-EN-CHAMPAGNE;53076;47.9619149;-0.3312461;;07 80 47 14 57;02 43 01 07 55;;;;;Facebook||https://www.facebook.com/Les-loups-gourmands-1597434550489236/;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;60;1;12;;;;Anglais,Espagnol;oui;;60;oui;||||Ouvert tous les midis du lundi au vendredi, samedi et dimanche sur réservation.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,50||||;Cartes bancaires,Chèques bancaires et postaux;47.9619149, -0.3312461;Mayenne
Restaurant Les Quatre Saisons;Restaurant;Cuisine traditionnelle;;82 rue Jean Ackerman;Saint-Hilaire-Saint-Florent;49400;;;SAUMUR;49328;47.270085;-0.104093;Itinéraire de randonnée||||;;02 41 50 17 90;;durand.resto@orange.fr;;;"Google+||https://maps.google.com/?cid=6294860666057886330 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d3639062-Reviews-Les_Quatre_Saisons-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;;;Plats à emporter;25;2;;;;;Anglais,Français;oui;;60;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Plats à la carte||||||A la carte.;Cartes bancaires;47.270085, -0.104093;Maine-et-Loire
